"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"294.667";"0.943";"100.0";"295.0";"0.0";"100.0";"294.967";"0.18";"100.0"
"./data/files/f2.txt";"917.1";"26.859";"0.0";"987.9";"19.639";"100.0";"1018.633";"5.351";"73.333"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"33.4";"0.8";"76.667";"35.0";"0.0";"100.0"
"./data/files/f4.txt";"23.0";"0.0";"100.0";"23.0";"0.0";"100.0";"23.0";"0.0";"100.0"
"./data/files/f5.txt";"447.328";"18.121";"100.0";"465.242";"11.162";"33.333";"478.853";"4.121";"90.0"
"./data/files/f6.txt";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0";"51.967";"0.18";"100.0"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"107.0";"0.0";"100.0";"106.6";"0.8";"100.0"
"./data/files/f8.txt";"9751.767";"4.814";"0.0";"9761.9";"2.948";"73.333";"9762.733";"3.203";"83.333"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"104.567";"8.887";"0.0";"130.0";"0.0";"100.0"
"./data/files/f10.txt";"917.167";"30.626";"0.0";"991.433";"18.324";"0.0";"1016.733";"7.402";"83.333"
"./data/files/Knapsack1.txt";"99763.933";"0.249";"0.0";"97476.867";"4627.706";"0.0";"99763.4";"6.868";"100.0"
"./data/files/Knapsack2.txt";"141810.1";"254.87";"80.0";"140286.0";"691.345";"0.0";"140472.3";"423.757";"0.0"
"./data/files/Knapsack3.txt";"100069.833";"158.999";"93.333";"100173.6";"64.948";"90.0";"100163.2";"19.457";"86.667"
"./data/files/Knapsack4.txt";"3960888.133";"1291.229";"0.0";"3952045.9";"4333.059";"0.0";"3957815.967";"2708.148";"0.0"
"./data/files/Knapsack5.txt";"104816.167";"541.635";"0.0";"106656.067";"759.664";"0.0";"107024.667";"218.555";"0.0"
"./data/files/Knapsack6.txt";"1045081.633";"6900.334";"0.0";"1066361.667";"6732.224";"0.0";"1074680.333";"4733.81";"0.0"
