"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"292.5";"2.997";"96.667";"292.267";"14.719";"96.667"
"./data/files/f2.txt";"1009.933";"13.444";"100.0";"993.6";"15.504";"0.0";"938.567";"15.897";"0.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"27.733";"3.454";"0.0";"35.0";"0.0";"100.0"
"./data/files/f4.txt";"23.0";"0.0";"96.667";"21.5";"2.5";"90.0";"23.0";"0.0";"100.0"
"./data/files/f5.txt";"476.383";"12.891";"100.0";"464.896";"11.529";"76.667";"465.277";"16.327";"0.0"
"./data/files/f6.txt";"51.967";"0.18";"100.0";"52.0";"0.0";"100.0";"51.633";"0.482";"63.333"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"101.933";"4.56";"86.667";"102.367";"5.547";"0.0"
"./data/files/f8.txt";"9764.6";"1.993";"96.667";"9761.233";"3.383";"76.667";"9745.667";"9.123";"0.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"105.1";"11.476";"0.0";"128.0";"4.472";"83.333"
"./data/files/f10.txt";"1014.233";"10.607";"83.333";"990.033";"15.572";"0.0";"962.8";"48.117";"0.0"
"./data/files/Knapsack1.txt";"99626.167";"316.578";"0.0";"98743.433";"3151.338";"0.0";"99763.567";"2.155";"0.0"
"./data/files/Knapsack2.txt";"140034.367";"645.556";"0.0";"140133.4";"683.608";"0.0";"141511.833";"459.842";"0.0"
"./data/files/Knapsack3.txt";"98308.533";"1541.111";"0.0";"100163.2";"63.474";"100.0";"100130.8";"105.638";"0.0"
"./data/files/Knapsack4.txt";"3952309.033";"3567.866";"0.0";"3952787.0";"3611.787";"0.0";"3952821.833";"1296.146";"0.0"
"./data/files/Knapsack5.txt";"100200.867";"2221.366";"0.0";"106738.733";"690.128";"0.0";"106755.3";"913.501";"0.0"
"./data/files/Knapsack6.txt";"993271.867";"21876.484";"0.0";"1037671.4";"14272.293";"0.0";"1046193.333";"14368.327";"0.0"
