"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"292.5";"2.997";"96.667";"248.267";"25.301";"13.333"
"./data/files/f2.txt";"1014.9";"11.098";"100.0";"980.2";"17.209";"20.0";"877.467";"49.914";"0.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"27.733";"3.454";"0.0";"31.867";"3.703";"96.667"
"./data/files/f4.txt";"23.0";"0.0";"96.667";"21.5";"2.5";"90.0";"22.7";"1.269";"96.667"
"./data/files/f5.txt";"476.383";"12.891";"100.0";"464.896";"11.529";"76.667";"385.186";"23.362";"0.0"
"./data/files/f6.txt";"51.967";"0.18";"100.0";"52.0";"0.0";"100.0";"50.4";"1.306";"86.667"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"101.933";"4.56";"86.667";"100.633";"6.145";"100.0"
"./data/files/f8.txt";"9764.6";"1.993";"96.667";"9761.233";"3.383";"76.667";"9654.833";"144.541";"0.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"105.1";"11.476";"0.0";"117.667";"9.707";"96.667"
"./data/files/f10.txt";"1016.833";"10.198";"96.667";"992.433";"13.363";"30.0";"863.833";"33.487";"0.0"
"./data/files/Knapsack1.txt";"99626.167";"316.578";"0.0";"98743.433";"3151.338";"0.0";"99425.1";"345.197";"66.667"
"./data/files/Knapsack2.txt";"140034.367";"645.556";"0.0";"140133.4";"683.608";"0.0";"138511.133";"588.202";"0.0"
"./data/files/Knapsack3.txt";"98308.533";"1541.111";"0.0";"100163.2";"63.474";"100.0";"100038.2";"141.253";"0.0"
"./data/files/Knapsack4.txt";"3952309.033";"3567.866";"0.0";"3952787.0";"3611.787";"0.0";"3947079.267";"2646.838";"0.0"
"./data/files/Knapsack5.txt";"100200.867";"2221.366";"0.0";"106738.733";"690.128";"0.0";"103319.067";"823.74";"0.0"
"./data/files/Knapsack6.txt";"992704.633";"22694.334";"0.0";"1033482.967";"16366.162";"0.0";"999980.4";"14200.912";"0.0"
