"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"292.5";"2.997";"96.667";"216.9";"28.329";"0.0"
"./data/files/f2.txt";"1002.567";"18.229";"100.0";"989.2";"14.892";"36.667";"798.633";"54.039";"0.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"27.733";"3.454";"0.0";"30.4";"4.087";"0.0"
"./data/files/f4.txt";"23.0";"0.0";"96.667";"21.5";"2.5";"90.0";"19.5";"4.169";"83.333"
"./data/files/f5.txt";"476.383";"12.891";"100.0";"464.896";"11.529";"76.667";"313.882";"20.328";"0.0"
"./data/files/f6.txt";"51.967";"0.18";"100.0";"52.0";"0.0";"100.0";"44.567";"5.795";"0.0"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"101.933";"4.56";"86.667";"84.733";"13.945";"0.0"
"./data/files/f8.txt";"9764.6";"1.993";"96.667";"9761.233";"3.383";"76.667";"9572.2";"229.923";"0.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"105.1";"11.476";"0.0";"107.0";"17.866";"0.0"
"./data/files/f10.txt";"1000.333";"19.959";"33.333";"985.8";"18.748";"60.0";"896.333";"44.438";"0.0"
"./data/files/Knapsack1.txt";"99626.167";"316.578";"0.0";"98743.433";"3151.338";"0.0";"99036.7";"264.891";"0.0"
"./data/files/Knapsack2.txt";"140034.367";"645.556";"0.0";"140133.4";"683.608";"0.0";"132374.0";"6491.644";"0.0"
"./data/files/Knapsack3.txt";"98308.533";"1541.111";"0.0";"100132.133";"162.954";"100.0";"98097.8";"745.79";"0.0"
"./data/files/Knapsack4.txt";"3952309.033";"3567.866";"0.0";"3952787.0";"3611.787";"0.0";"3947337.767";"555.376";"0.0"
"./data/files/Knapsack5.txt";"100358.767";"2106.332";"0.0";"106172.967";"844.267";"0.0";"103954.833";"960.971";"0.0"
"./data/files/Knapsack6.txt";"1003135.833";"19343.825";"0.0";"1018771.333";"17873.483";"0.0";"1009916.967";"13011.685";"0.0"
