"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"292.5";"2.997";"96.667";"216.767";"17.845";"0.0"
"./data/files/f2.txt";"1001.467";"15.823";"100.0";"992.7";"16.33";"83.333";"799.633";"31.082";"0.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"27.733";"3.454";"0.0";"29.033";"4.293";"0.0"
"./data/files/f4.txt";"23.0";"0.0";"96.667";"21.5";"2.5";"90.0";"21.367";"2.588";"96.667"
"./data/files/f5.txt";"476.383";"12.891";"100.0";"464.896";"11.529";"76.667";"289.578";"25.351";"0.0"
"./data/files/f6.txt";"51.967";"0.18";"100.0";"52.0";"0.0";"100.0";"49.767";"1.783";"0.0"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"101.933";"4.56";"86.667";"85.5";"13.796";"0.0"
"./data/files/f8.txt";"9764.6";"1.993";"96.667";"9761.233";"3.383";"76.667";"9666.5";"142.666";"0.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"105.1";"11.476";"0.0";"113.267";"14.28";"0.0"
"./data/files/f10.txt";"1003.233";"16.151";"93.333";"993.2";"15.215";"0.0";"789.833";"44.012";"0.0"
"./data/files/Knapsack1.txt";"99626.167";"316.578";"0.0";"98743.433";"3151.338";"0.0";"99348.1";"503.807";"0.0"
"./data/files/Knapsack2.txt";"140034.367";"645.556";"0.0";"140133.4";"683.608";"0.0";"128685.967";"4080.087";"0.0"
"./data/files/Knapsack3.txt";"98308.533";"1541.111";"0.0";"100143.233";"101.392";"100.0";"97417.833";"1847.342";"0.0"
"./data/files/Knapsack4.txt";"3952309.033";"3567.866";"0.0";"3952439.1";"3840.335";"0.0";"3947874.767";"1834.781";"0.0"
"./data/files/Knapsack5.txt";"100200.867";"2221.366";"0.0";"105959.3";"863.529";"0.0";"102176.833";"0.373";"0.0"
"./data/files/Knapsack6.txt";"998738.567";"20183.168";"0.0";"1019612.667";"19227.773";"0.0";"1016695.533";"6046.499";"0.0"
