"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"294.667";"0.943";"100.0";"295.0";"0.0";"100.0";"295.0";"0.0";"100.0"
"./data/files/f2.txt";"917.1";"26.859";"0.0";"989.167";"19.635";"100.0";"1015.533";"9.036";"93.333"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"33.467";"0.846";"76.667";"35.0";"0.0";"100.0"
"./data/files/f4.txt";"23.0";"0.0";"100.0";"23.0";"0.0";"100.0";"23.0";"0.0";"100.0"
"./data/files/f5.txt";"447.328";"18.121";"100.0";"464.751";"10.772";"33.333";"478.177";"4.223";"100.0"
"./data/files/f6.txt";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0";"51.933";"0.249";"100.0"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"107.0";"0.0";"100.0";"106.933";"0.359";"100.0"
"./data/files/f8.txt";"9751.767";"4.814";"0.0";"9761.8";"2.971";"73.333";"9762.033";"4.215";"93.333"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"104.533";"9.062";"0.0";"130.0";"0.0";"100.0"
"./data/files/f10.txt";"917.167";"30.626";"0.0";"991.767";"18.079";"0.0";"1014.833";"10.162";"90.0"
"./data/files/Knapsack1.txt";"99763.933";"0.249";"0.0";"97547.3";"4652.85";"0.0";"99754.533";"45.566";"73.333"
"./data/files/Knapsack2.txt";"141810.1";"254.87";"80.0";"140250.8";"709.456";"0.0";"140532.467";"266.533";"0.0"
"./data/files/Knapsack3.txt";"100069.833";"158.999";"93.333";"100176.2";"62.67";"90.0";"100168.4";"38.913";"86.667"
"./data/files/Knapsack4.txt";"3960888.133";"1291.229";"0.0";"3952038.033";"4341.183";"0.0";"3957168.7";"1368.183";"0.0"
"./data/files/Knapsack5.txt";"104816.167";"541.635";"0.0";"106632.667";"698.847";"0.0";"106705.667";"761.876";"0.0"
"./data/files/Knapsack6.txt";"1045081.633";"6900.334";"0.0";"1066361.667";"6732.224";"0.0";"1065182.633";"7464.913";"0.0"
