"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"292.5";"2.997";"96.667";"256.1";"27.836";"0.0"
"./data/files/f2.txt";"1015.933";"10.453";"100.0";"986.433";"15.061";"56.667";"883.633";"32.701";"0.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"27.733";"3.454";"0.0";"33.4";"2.678";"86.667"
"./data/files/f4.txt";"23.0";"0.0";"100.0";"21.533";"2.513";"86.667";"22.733";"0.772";"93.333"
"./data/files/f5.txt";"476.383";"12.891";"100.0";"464.896";"11.529";"76.667";"367.333";"24.011";"0.0"
"./data/files/f6.txt";"51.967";"0.18";"100.0";"52.0";"0.0";"100.0";"49.333";"2.371";"76.667"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"103.833";"4.259";"100.0";"95.867";"9.608";"86.667"
"./data/files/f8.txt";"9765.167";"2.051";"93.333";"9762.267";"2.489";"70.0";"9555.967";"200.639";"0.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"109.867";"13.251";"0.0";"117.667";"12.985";"73.333"
"./data/files/f10.txt";"1020.167";"6.871";"93.333";"992.433";"13.363";"30.0";"833.133";"53.083";"0.0"
"./data/files/Knapsack1.txt";"99609.033";"355.482";"0.0";"98743.433";"3151.338";"0.0";"99165.0";"738.569";"0.0"
"./data/files/Knapsack2.txt";"139725.667";"609.225";"0.0";"140324.133";"565.466";"0.0";"139938.367";"765.792";"0.0"
"./data/files/Knapsack3.txt";"97969.1";"1813.674";"0.0";"100165.2";"72.223";"90.0";"99856.2";"360.8";"0.0"
"./data/files/Knapsack4.txt";"3952309.033";"3567.866";"0.0";"3952787.0";"3611.787";"0.0";"3945146.5";"3746.21";"0.0"
"./data/files/Knapsack5.txt";"99967.7";"1885.541";"0.0";"106738.733";"690.128";"0.0";"101262.867";"658.924";"0.0"
"./data/files/Knapsack6.txt";"1004266.4";"18750.393";"0.0";"1068260.833";"7514.694";"0.0";"1032508.433";"2551.377";"0.0"
