"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"294.667";"0.943";"100.0";"295.0";"0.0";"100.0";"295.0";"0.0";"100.0"
"./data/files/f2.txt";"918.0";"25.937";"0.0";"987.367";"18.277";"100.0";"1013.8";"9.721";"90.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"33.467";"0.846";"20.0";"35.0";"0.0";"100.0"
"./data/files/f4.txt";"23.0";"0.0";"100.0";"23.0";"0.0";"100.0";"23.0";"0.0";"100.0"
"./data/files/f5.txt";"447.328";"18.121";"100.0";"467.465";"12.763";"33.333";"476.167";"9.85";"96.667"
"./data/files/f6.txt";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0";"51.833";"0.373";"100.0"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"107.0";"0.0";"100.0";"106.6";"0.8";"100.0"
"./data/files/f8.txt";"9751.767";"4.814";"0.0";"9762.533";"2.642";"93.333";"9760.367";"3.886";"16.667"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"105.3";"8.063";"0.0";"130.0";"0.0";"100.0"
"./data/files/f10.txt";"917.167";"30.626";"0.0";"994.267";"14.953";"0.0";"1012.933";"10.198";"90.0"
"./data/files/Knapsack1.txt";"99763.933";"0.249";"0.0";"99166.467";"2289.109";"0.0";"99761.5";"2.11";"0.0"
"./data/files/Knapsack2.txt";"141810.1";"254.87";"80.0";"140077.233";"796.71";"0.0";"140906.033";"400.487";"0.0"
"./data/files/Knapsack3.txt";"100069.833";"158.999";"93.333";"100191.8";"59.346";"100.0";"100173.6";"46.8";"83.333"
"./data/files/Knapsack4.txt";"3960888.133";"1291.229";"0.0";"3951702.467";"4679.689";"0.0";"3956966.467";"2353.098";"0.0"
"./data/files/Knapsack5.txt";"104739.833";"478.16";"0.0";"106907.833";"689.657";"0.0";"106687.2";"476.402";"0.0"
"./data/files/Knapsack6.txt";"1045651.3";"7476.827";"0.0";"1065699.033";"6390.05";"0.0";"1062090.6";"8651.575";"0.0"
