"";"Busqueda aleatoria";"Ascenso a la colina";"VNS"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"292.5";"2.997";"96.667";"289.8";"21.87";"53.333"
"./data/files/f2.txt";"1006.233";"16.84";"90.0";"985.533";"18.182";"16.667";"978.0";"45.516";"30.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"27.733";"3.454";"0.0";"35.0";"0.0";"100.0"
