"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"292.7";"3.689";"100.0";"293.5";"7.205";"93.333"
"./data/files/f2.txt";"1017.867";"11.141";"100.0";"987.333";"16.412";"0.0";"990.067";"30.54";"36.667"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"28.767";"4.295";"0.0";"34.767";"1.257";"96.667"
"./data/files/f4.txt";"23.0";"0.0";"100.0";"21.033";"2.81";"100.0";"23.0";"0.0";"100.0"
"./data/files/f5.txt";"476.57";"12.917";"100.0";"465.133";"11.905";"46.667";"435.865";"67.674";"0.0"
"./data/files/f6.txt";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"102.833";"4.561";"100.0";"105.867";"0.991";"43.333"
"./data/files/f8.txt";"9764.1";"2.256";"100.0";"9761.733";"3.235";"96.667";"9756.233";"10.243";"0.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"106.267";"13.596";"0.0";"130.0";"0.0";"100.0"
"./data/files/f10.txt";"1020.167";"6.649";"100.0";"987.533";"14.101";"36.667";"1010.0";"12.0";"0.0"
"./data/files/Knapsack1.txt";"99505.0";"471.744";"0.0";"96715.867";"5347.731";"0.0";"99760.467";"4.047";"0.0"
"./data/files/Knapsack2.txt";"139870.533";"734.088";"0.0";"139795.367";"712.114";"0.0";"141162.5";"42.316";"0.0"
"./data/files/Knapsack3.txt";"98227.667";"1616.68";"0.0";"100184.0";"67.8";"100.0";"100160.4";"226.8";"90.0"
"./data/files/Knapsack4.txt";"3952517.267";"3955.192";"0.0";"3952518.233";"2835.444";"0.0";"3957399.467";"1428.457";"0.0"
"./data/files/Knapsack5.txt";"100697.367";"2141.204";"0.0";"106732.367";"815.647";"0.0";"103179.2";"428.269";"0.0"
"./data/files/Knapsack6.txt";"1002691.833";"16489.096";"0.0";"1068740.8";"6785.026";"0.0";"1034687.333";"13934.865";"0.0"
