"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"294.8";"0.476";"100.0";"295.0";"0.0";"100.0";"276.833";"21.248";"100.0"
"./data/files/f2.txt";"923.133";"25.499";"0.0";"984.133";"17.385";"100.0";"922.5";"29.805";"0.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"33.267";"0.68";"73.333";"34.467";"1.765";"100.0"
"./data/files/f4.txt";"23.0";"0.0";"100.0";"23.0";"0.0";"100.0";"23.0";"0.0";"100.0"
"./data/files/f5.txt";"447.688";"19.07";"100.0";"468.189";"15.268";"73.333";"415.707";"27.681";"16.667"
"./data/files/f6.txt";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0";"50.467";"0.763";"90.0"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"107.0";"0.0";"100.0";"105.433";"1.359";"86.667"
"./data/files/f8.txt";"9750.867";"5.755";"0.0";"9762.2";"2.821";"66.667";"9738.2";"10.678";"0.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"103.433";"8.831";"0.0";"120.9";"9.813";"100.0"
"./data/files/f10.txt";"922.267";"24.145";"0.0";"991.9";"13.948";"0.0";"929.233";"37.681";"0.0"
"./data/files/Knapsack1.txt";"99763.933";"0.249";"0.0";"98320.5";"3775.132";"0.0";"99664.367";"120.424";"0.0"
"./data/files/Knapsack2.txt";"141818.1";"252.275";"93.333";"140116.1";"782.99";"0.0";"140033.067";"318.871";"0.0"
"./data/files/Knapsack3.txt";"100061.233";"153.847";"93.333";"100178.8";"77.826";"100.0";"99540.933";"761.37";"0.0"
"./data/files/Knapsack4.txt";"3960905.767";"1557.969";"0.0";"3951911.067";"4172.519";"0.0";"3958095.2";"1663.051";"0.0"
"./data/files/Knapsack5.txt";"104553.667";"513.352";"0.0";"106742.8";"740.252";"0.0";"103947.867";"1110.441";"0.0"
"./data/files/Knapsack6.txt";"1048067.1";"8151.134";"0.0";"1066023.0";"5917.855";"0.0";"1049909.767";"4858.253";"0.0"
