"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"292.267";"3.768";"96.667";"294.467";"1.31";"100.0"
"./data/files/f2.txt";"1000.767";"19.709";"100.0";"974.433";"19.375";"0.0";"971.3";"24.465";"36.667"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"29.733";"3.983";"0.0";"33.067";"2.632";"100.0"
"./data/files/f4.txt";"23.0";"0.0";"96.667";"20.967";"2.775";"73.333";"22.6";"0.952";"96.667"
"./data/files/f5.txt";"475.638";"12.76";"100.0";"462.045";"15.889";"30.0";"456.209";"15.136";"76.667"
"./data/files/f6.txt";"51.9";"0.3";"100.0";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"103.367";"4.27";"90.0";"107.0";"0.0";"96.667"
"./data/files/f8.txt";"9762.4";"2.8";"60.0";"9760.1";"4.102";"0.0";"9752.667";"4.721";"0.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"106.1";"12.771";"0.0";"116.6";"9.091";"86.667"
"./data/files/f10.txt";"1006.3";"17.172";"83.333";"988.333";"15.959";"0.0";"973.3";"21.409";"0.0"
"./data/files/Knapsack1.txt";"99251.433";"828.849";"0.0";"96636.833";"5292.916";"0.0";"99762.033";"2.183";"0.0"
"./data/files/Knapsack2.txt";"139600.033";"730.419";"0.0";"139922.767";"804.764";"0.0";"140267.433";"221.098";"0.0"
"./data/files/Knapsack3.txt";"98286.7";"1702.681";"20.0";"100163.2";"72.428";"100.0";"100178.8";"44.732";"90.0"
"./data/files/Knapsack4.txt";"3950487.7";"4055.206";"0.0";"3952284.6";"3707.828";"0.0";"3949594.567";"1430.085";"0.0"
"./data/files/Knapsack5.txt";"99840.633";"1811.03";"0.0";"105954.967";"1036.858";"0.0";"105607.0";"799.259";"0.0"
"./data/files/Knapsack6.txt";"992257.0";"19879.927";"0.0";"1058483.867";"10264.541";"0.0";"1034688.333";"6820.153";"0.0"
