"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"292.5";"2.997";"96.667";"252.967";"20.119";"0.0"
"./data/files/f2.txt";"999.833";"22.094";"100.0";"989.633";"19.371";"90.0";"821.8";"55.89";"0.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"27.733";"3.454";"0.0";"32.3";"3.77";"100.0"
"./data/files/f4.txt";"23.0";"0.0";"96.667";"21.5";"2.5";"90.0";"22.967";"0.18";"100.0"
"./data/files/f5.txt";"476.383";"12.891";"100.0";"464.896";"11.529";"76.667";"380.513";"31.191";"0.0"
"./data/files/f6.txt";"51.967";"0.18";"100.0";"52.0";"0.0";"100.0";"48.8";"2.257";"76.667"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"101.933";"4.56";"86.667";"96.867";"7.877";"86.667"
"./data/files/f8.txt";"9764.6";"1.993";"96.667";"9761.233";"3.383";"76.667";"9711.867";"12.86";"0.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"105.1";"11.476";"0.0";"118.067";"9.588";"100.0"
"./data/files/f10.txt";"995.367";"20.5";"96.667";"990.1";"17.265";"50.0";"865.8";"37.795";"0.0"
"./data/files/Knapsack1.txt";"99626.167";"316.578";"0.0";"98743.433";"3151.338";"0.0";"99634.867";"156.116";"23.333"
"./data/files/Knapsack2.txt";"140034.367";"645.556";"0.0";"140133.4";"683.608";"0.0";"138351.233";"818.241";"0.0"
"./data/files/Knapsack3.txt";"98308.533";"1541.111";"0.0";"100120.467";"116.952";"100.0";"100050.667";"115.422";"100.0"
"./data/files/Knapsack4.txt";"3952309.033";"3567.866";"0.0";"3952787.0";"3611.787";"0.0";"3948020.767";"1721.357";"0.0"
"./data/files/Knapsack5.txt";"100200.867";"2221.366";"0.0";"105951.567";"877.877";"0.0";"104129.967";"286.075";"0.0"
"./data/files/Knapsack6.txt";"998025.867";"20888.232";"0.0";"1016064.133";"22139.33";"0.0";"998799.8";"10295.618";"0.0"
