"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"292.033";"2.904";"96.667";"295.0";"0.0";"100.0"
"./data/files/f2.txt";"1010.967";"17.062";"100.0";"983.067";"18.606";"76.667";"1012.533";"34.787";"90.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"29.067";"3.82";"0.0";"34.767";"1.257";"96.667"
"./data/files/f4.txt";"23.0";"0.0";"100.0";"20.3";"3.068";"76.667";"23.0";"0.0";"100.0"
"./data/files/f5.txt";"480.883";"1.004";"100.0";"464.626";"12.237";"90.0";"478.727";"12.616";"96.667"
"./data/files/f6.txt";"51.967";"0.18";"100.0";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"102.9";"4.23";"93.333";"106.067";"3.492";"93.333"
"./data/files/f8.txt";"9765.167";"2.083";"96.667";"9761.567";"3.703";"100.0";"9759.333";"14.407";"66.667"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"105.333";"11.27";"0.0";"126.2";"7.935";"76.667"
"./data/files/f10.txt";"1017.5";"11.695";"100.0";"986.767";"14.516";"0.0";"997.467";"20.783";"0.0"
"./data/files/Knapsack1.txt";"99321.233";"598.15";"0.0";"98235.667";"3676.419";"0.0";"99750.733";"44.529";"0.0"
"./data/files/Knapsack2.txt";"139745.7";"574.495";"0.0";"140203.033";"628.845";"0.0";"139693.567";"1093.087";"0.0"
"./data/files/Knapsack3.txt";"98798.333";"1084.042";"0.0";"100171.0";"57.259";"96.667";"100158.0";"0.0";"0.0"
"./data/files/Knapsack4.txt";"3951654.833";"4406.891";"0.0";"3952896.167";"4183.851";"0.0";"3954771.767";"3839.937";"0.0"
"./data/files/Knapsack5.txt";"100098.967";"1535.661";"0.0";"106872.533";"629.779";"0.0";"107442.3";"375.17";"0.0"
"./data/files/Knapsack6.txt";"999080.133";"23552.14";"0.0";"1069701.233";"7390.762";"0.0";"1071892.133";"3067.501";"0.0"
