"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"292.567";"2.94";"93.333";"285.2";"31.298";"0.0"
"./data/files/f2.txt";"1007.333";"19.281";"93.333";"975.167";"21.133";"0.0";"965.333";"26.627";"0.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"29.167";"3.795";"0.0";"34.633";"1.329";"90.0"
"./data/files/f4.txt";"23.0";"0.0";"100.0";"21.533";"2.513";"93.333";"23.0";"0.0";"100.0"
"./data/files/f5.txt";"470.571";"16.678";"100.0";"454.48";"17.709";"86.667";"468.055";"24.78";"76.667"
"./data/files/f6.txt";"51.933";"0.249";"96.667";"52.0";"0.0";"100.0";"51.4";"1.8";"86.667"
"./data/files/f7.txt";"106.933";"0.359";"100.0";"103.667";"3.902";"100.0";"104.733";"2.804";"0.0"
"./data/files/f8.txt";"9762.333";"3.789";"80.0";"9759.067";"3.366";"36.667";"9737.267";"101.856";"23.333"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"101.833";"9.819";"0.0";"130.0";"0.0";"100.0"
"./data/files/f10.txt";"1000.967";"17.155";"76.667";"979.767";"17.339";"0.0";"982.567";"54.157";"16.667"
"./data/files/Knapsack1.txt";"99086.067";"867.804";"0.0";"97322.6";"4644.88";"0.0";"99724.0";"212.066";"0.0"
"./data/files/Knapsack2.txt";"139681.933";"605.658";"0.0";"139796.467";"690.416";"0.0";"140733.233";"160.017";"0.0"
"./data/files/Knapsack3.txt";"96969.367";"2944.216";"53.333";"100181.4";"60.92";"96.667";"100143.333";"335.159";"83.333"
"./data/files/Knapsack4.txt";"3950969.367";"3398.695";"0.0";"3951846.6";"3887.89";"0.0";"3954235.667";"1634.83";"0.0"
"./data/files/Knapsack5.txt";"100970.467";"1547.824";"0.0";"106123.5";"746.47";"0.0";"105604.833";"1638.426";"0.0"
"./data/files/Knapsack6.txt";"1000658.3";"15573.552";"0.0";"1059413.167";"8867.324";"0.0";"1025018.0";"10804.91";"0.0"
