"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"291.833";"4.251";"96.667";"279.133";"16.293";"40.0"
"./data/files/f2.txt";"1014.467";"10.233";"100.0";"996.2";"12.24";"90.0";"872.2";"40.405";"0.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"27.8";"3.059";"0.0";"34.733";"0.68";"100.0"
"./data/files/f4.txt";"23.0";"0.0";"100.0";"20.4";"3.137";"86.667";"22.833";"0.898";"96.667"
"./data/files/f5.txt";"477.424";"11.045";"100.0";"471.406";"7.57";"90.0";"406.433";"29.782";"50.0"
"./data/files/f6.txt";"51.967";"0.18";"100.0";"52.0";"0.0";"100.0";"49.767";"2.028";"100.0"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"103.367";"4.27";"100.0";"103.367";"5.148";"96.667"
"./data/files/f8.txt";"9765.4";"1.96";"100.0";"9764.067";"3.151";"80.0";"9734.433";"10.892";"0.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"104.8";"9.948";"0.0";"118.1";"9.628";"90.0"
"./data/files/f10.txt";"1018.7";"8.038";"93.333";"996.867";"11.963";"60.0";"862.9";"38.759";"0.0"
"./data/files/Knapsack1.txt";"99494.067";"438.424";"0.0";"98689.967";"3137.905";"0.0";"99615.3";"191.108";"0.0"
"./data/files/Knapsack2.txt";"140186.233";"730.546";"0.0";"140471.933";"583.241";"0.0";"140557.7";"115.116";"0.0"
"./data/files/Knapsack3.txt";"98287.233";"1611.59";"93.333";"100191.8";"65.827";"96.667";"100112.0";"88.796";"56.667"
"./data/files/Knapsack4.txt";"3951521.633";"3832.538";"0.0";"3953046.933";"2711.571";"0.0";"3947588.067";"2343.171";"0.0"
"./data/files/Knapsack5.txt";"100197.367";"1564.534";"0.0";"107489.6";"547.585";"0.0";"101511.5";"1224.026";"0.0"
"./data/files/Knapsack6.txt";"1006143.533";"22012.067";"0.0";"1074522.4";"6277.405";"0.0";"1052084.233";"2049.013";"0.0"
