"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"292.5";"2.997";"96.667";"261.533";"28.208";"73.333"
"./data/files/f2.txt";"1003.467";"15.368";"100.0";"987.967";"15.023";"0.0";"836.233";"54.393";"0.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"27.733";"3.454";"0.0";"31.867";"3.703";"96.667"
"./data/files/f4.txt";"23.0";"0.0";"96.667";"21.5";"2.5";"90.0";"22.7";"1.269";"96.667"
"./data/files/f5.txt";"476.383";"12.891";"100.0";"464.896";"11.529";"76.667";"388.985";"24.718";"0.0"
"./data/files/f6.txt";"51.967";"0.18";"100.0";"52.0";"0.0";"100.0";"49.833";"2.77";"70.0"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"101.933";"4.56";"86.667";"103.367";"5.161";"100.0"
"./data/files/f8.txt";"9764.6";"1.993";"96.667";"9761.233";"3.383";"76.667";"9685.9";"122.92";"0.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"105.1";"11.476";"0.0";"117.667";"9.707";"96.667"
"./data/files/f10.txt";"995.6";"19.431";"63.333";"993.167";"17.355";"76.667";"900.567";"31.985";"0.0"
"./data/files/Knapsack1.txt";"99626.167";"316.578";"0.0";"98743.433";"3151.338";"0.0";"99664.733";"209.398";"0.0"
"./data/files/Knapsack2.txt";"140034.367";"645.556";"0.0";"140133.4";"683.608";"0.0";"138481.033";"675.9";"0.0"
"./data/files/Knapsack3.txt";"98308.533";"1541.111";"0.0";"100146.1";"151.914";"100.0";"100015.967";"147.796";"3.333"
"./data/files/Knapsack4.txt";"3952309.033";"3567.866";"0.0";"3952787.0";"3611.787";"0.0";"3948207.533";"1666.974";"0.0"
"./data/files/Knapsack5.txt";"100253.367";"2206.873";"0.0";"106307.733";"962.804";"0.0";"103611.8";"730.73";"0.0"
"./data/files/Knapsack6.txt";"1004401.8";"19149.09";"0.0";"1013325.3";"16893.802";"0.0";"984689.867";"17872.526";"0.0"
