"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"292.4";"2.962";"100.0";"227.833";"14.724";"0.0"
"./data/files/f2.txt";"1013.033";"15.957";"96.667";"992.967";"17.908";"0.0";"869.067";"34.598";"0.0"
"./data/files/f3.txt";"35.0";"0.0";"100.0";"28.033";"3.71";"0.0";"31.7";"2.635";"0.0"
"./data/files/f4.txt";"23.0";"0.0";"100.0";"21.233";"2.654";"100.0";"19.7";"2.865";"0.0"
"./data/files/f5.txt";"477.262";"10.712";"96.667";"467.511";"12.574";"100.0";"355.87";"35.121";"0.0"
"./data/files/f6.txt";"51.9";"0.3";"100.0";"52.0";"0.0";"100.0";"48.333";"2.612";"0.0"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"103.167";"4.488";"100.0";"96.9";"7.213";"0.0"
"./data/files/f8.txt";"9765.067";"1.879";"100.0";"9761.967";"4.029";"90.0";"9696.8";"127.965";"0.0"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"102.667";"11.603";"0.0";"112.9";"6.715";"0.0"
"./data/files/f10.txt";"1015.967";"10.769";"93.333";"987.433";"19.233";"100.0";"860.9";"39.093";"0.0"
"./data/files/Knapsack1.txt";"99460.967";"473.446";"0.0";"98424.233";"3741.746";"0.0";"95736.033";"14064.73";"0.0"
"./data/files/Knapsack2.txt";"139945.1";"667.369";"0.0";"140401.3";"770.152";"0.0";"134365.767";"6351.437";"0.0"
"./data/files/Knapsack3.txt";"98447.467";"1939.71";"10.0";"100173.6";"64.948";"96.667";"97531.9";"3347.887";"0.0"
"./data/files/Knapsack4.txt";"3951611.733";"4844.713";"0.0";"3951956.167";"4761.256";"0.0";"3921322.133";"68101.191";"0.0"
"./data/files/Knapsack5.txt";"100508.933";"1667.36";"0.0";"106640.7";"793.934";"0.0";"99534.967";"4089.822";"0.0"
